Strike,CE LTP,CE OI,CE Volume,CE IV,CE Delta,CE Gamma,CE Vega,PE LTP,PE OI,PE Volume,PE IV,PE Delta,PE Gamma,PE Vega,timestamp,Max Pain
56600,3300.0,60,0,29.583190234538453,0.8026,8e-05,33.92615,31.65,35370,67620,15.368386366784176,-0.04116,5e-05,10.7602,2026-01-12 12:48,1986305
56700,2750.35,30,0,0.0,0.0,0.0,0.0,34.0,26610,55530,15.156956809751224,-0.04433,5e-05,11.42496,2026-01-12 12:48,1883734
56800,2700.0,30,0,10.607923543053685,0.98373,3e-05,4.9602,35.8,22140,70950,14.880554277006267,-0.04711,5e-05,11.99555,2026-01-12 12:48,1781440
56900,2888.35,480,0,24.31548067776999,0.82063,9e-05,31.97877,38.0,27630,89910,14.635746605806531,-0.05032,6e-05,12.64383,2026-01-12 12:48,1679379
57000,2814.8,61620,5220,15.736950407851719,0.9313,7e-05,16.14872,41.45,583020,1044930,14.45642083068613,-0.0548,6e-05,13.52971,2026-01-12 12:48,1577704
57100,2478.55,150,0,15.439927113420257,0.90517,9e-05,20.61747,43.5,31890,74610,14.204378362818382,-0.05799,7e-05,14.14723,2026-01-12 12:48,1497369
57200,2686.7,300,0,25.304661098631936,0.78321,9e-05,35.85975,46.75,55620,208950,13.968395802758641,-0.06257,7e-05,15.01347,2026-01-12 12:48,1402325
57300,1930.4,1080,30,13.266210206594778,0.88011,0.00012,24.17218,50.15,30810,106620,13.752639297379085,-0.06731,8e-05,15.89021,2026-01-12 12:48,1307763
57400,2720.0,300,0,30.007853155669878,0.73002,9e-05,40.38381,54.9,52950,139470,13.581850875587081,-0.07346,8e-05,16.99386,2026-01-12 12:48,1213753
57500,2260.0,27720,4770,14.13187016425571,0.90399,0.0001,20.76288,60.0,460770,880590,13.414340462976021,-0.08001,9e-05,18.13511,2026-01-12 12:48,1120012
57600,1906.75,4500,270,0.0,0.0,0.0,0.0,63.8,43560,165030,13.200463022446435,-0.08539,0.0001,19.0484,2026-01-12 12:48,1034866
57700,1565.0,600,270,12.812220497451865,0.82653,0.00017,30.98655,71.15,78780,252510,13.060767962417902,-0.09439,0.00011,20.51815,2026-01-12 12:48,947280
57800,1800.0,570,570,12.18751412489841,0.88217,0.00013,24.01039,78.1,67380,246630,12.900952344923011,-0.10304,0.00011,21.87877,2026-01-12 12:48,859441
57900,1900.0,1260,450,13.169932572280436,0.87521,0.00013,25.06948,86.25,75930,292500,12.77345281653502,-0.11277,0.00012,23.34779,2026-01-12 12:48,772324
58000,1846.95,86850,78630,13.124969143028082,0.8678,0.00013,26.10437,95.85,813930,1867140,12.630016812156262,-0.12413,0.00013,24.98382,2026-01-12 12:48,685988
58100,1227.2,3930,210,12.001681763581074,0.7661,0.00021,37.05212,105.45,149970,356640,12.490849670209542,-0.13538,0.00014,26.53236,2026-01-12 12:48,617314
58200,1638.25,4200,1530,10.629503735703675,0.89205,0.00014,22.64179,116.85,104370,356340,12.368775254480116,-0.14827,0.00015,28.218,2026-01-12 12:48,540841
58300,1581.6,3720,2130,12.27794447072287,0.84023,0.00016,29.65785,129.6,72810,387150,12.256810888544402,-0.16228,0.00016,29.95201,2026-01-12 12:48,466021
58400,1528.45,8550,7140,13.166935147402056,0.80691,0.00017,33.43843,144.1,98640,383220,12.161092099048497,-0.17766,0.00018,31.74172,2026-01-12 12:48,392143
58500,1405.75,73860,193560,12.305625068166773,0.80116,0.00019,34.02753,159.0,615570,1609470,12.024339598371688,-0.19369,0.00019,33.48952,2026-01-12 12:48,319577
58600,1334.8,19650,27360,12.376835794248704,0.7816,0.0002,35.96707,176.45,95580,524700,11.948320305649846,-0.21109,0.0002,35.26033,2026-01-12 12:48,254615
58700,1255.45,17970,71610,11.898615131305474,0.77366,0.00021,36.71965,196.35,112320,806640,11.848273873936181,-0.23071,0.00021,37.09941,2026-01-12 12:48,191147
58800,1161.85,32400,220230,11.828086900802743,0.7488,0.00022,38.86006,217.0,166620,1153290,11.748615598853101,-0.25058,0.00022,38.8065,2026-01-12 12:48,128096
58900,1097.95,45990,483810,12.04946239180331,0.72233,0.00023,40.89381,241.0,188100,1441980,11.66864192097396,-0.27254,0.00023,40.51663,2026-01-12 12:48,67133
59000,1017.55,355260,2557470,11.875309004901203,0.70033,0.00024,42.38575,267.35,1109220,5372490,11.608354684337035,-0.29547,0.00024,42.11403,2026-01-12 12:48,8879
