Strike,CE LTP,CE OI,CE Volume,CE IV,CE Delta,CE Gamma,CE Vega,PE LTP,PE OI,PE Volume,PE IV,PE Delta,PE Gamma,PE Vega,timestamp,Max Pain
12750,1057.3,0,0,0.0,0.0,0.0,0.0,3.75,2640,1320,20.275422740258453,-0.01546,6e-05,1.2863,2026-01-08 07:54,520865
12775,1040.2,0,0,0.0,0.0,0.0,0.0,4.3,120,720,20.429688082367672,-0.01736,6e-05,1.41937,2026-01-08 07:54,501915
12800,1023.25,0,0,0.0,0.0,0.0,0.0,4.35,279000,116760,20.16071288757281,-0.01775,7e-05,1.4467,2026-01-08 07:54,482965
12825,1006.45,0,0,0.0,0.0,0.0,0.0,8.25,480,0,20.601998651461276,-0.03063,0.0001,2.29023,2026-01-08 07:54,464592
12850,989.8,0,0,0.0,0.0,0.0,0.0,5.65,8640,12720,20.238904110687926,-0.02231,8e-05,1.75628,2026-01-08 07:54,446341
12875,973.3,0,0,0.0,0.0,0.0,0.0,5.7,600,13560,19.908961384642218,-0.02282,8e-05,1.79001,2026-01-08 07:54,428108
12900,957.0,0,0,0.0,0.0,0.0,0.0,5.9,97200,75360,19.663805413290547,-0.02379,9e-05,1.85378,2026-01-08 07:54,409880
12925,940.85,0,0,0.0,0.0,0.0,0.0,6.65,240,120,19.68550143340536,-0.02628,9e-05,2.02645,2026-01-08 07:54,391838
12950,924.85,0,0,0.0,0.0,0.0,0.0,7.15,2040,1200,19.421125324277057,-0.02849,0.0001,2.1556,2026-01-08 07:54,373854
12975,909.0,0,0,0.0,0.0,0.0,0.0,6.9,960,1440,19.089503931462335,-0.02804,0.0001,2.12731,2026-01-08 07:54,355874
13000,1111.15,46320,240,0.0,0.0,0.0,0.0,7.55,520800,731760,19.06603104009409,-0.03038,0.00011,2.27384,2026-01-08 07:54,337897
13025,877.8,0,0,0.0,0.0,0.0,0.0,7.6,2040,1680,18.666812897449244,-0.03114,0.00011,2.32053,2026-01-08 07:54,326092
13050,862.45,0,0,0.0,0.0,0.0,0.0,8.2,4080,8640,18.601754485041862,-0.03338,0.00012,2.45783,2026-01-08 07:54,309537
